year,type,title,note,journal,doi,author,ENTRYTYPE,ID
2012,InProceedings,schedulability analysis for the dynamic segment of flexray: a generalization to slot multiplexing,23,Unknown Venue,10.1109/rtas.2012.10,Tanasa B.,article,RRexportBogdanTanasa2012
2009,Book,amortised memory analysis using the depth of data structures,34,LNCS,10.1007/978-3-642-00590-9_14,Campbell B.,article,RRexportBrianCampbell2009
2014,Book,randomised testing of a microprocessor model using smt-solver state generation,81,LNCS,10.1007/978-3-319-10702-8_13,Campbell B.,article,RRexportBrianCampbell2014
2001,Book,automated test generation from timed automata,85,LNCS,10.1007/3-540-45319-9_24,Nielsen B.,article,RRexportBrianNielsen2001
2003,Journal,automated test generation from timed automata,60,International Journal on Software Tools for Technology Transfer,10.1007/s10009-002-0094-1,Nielsen B.,article,RRexportBrianNielsen2003
1975,Book,algol 60 implementation: the translation and use of algol 60 programs on a computer,10,Unknown Venue,None,Randell B.,article,RRexportBrianRandell1975
2006,Journal,the yices smt solver,498,Unknown Venue,None,Dutertre B.,article,RRexportBrunoDutertre2006
2006,Book,a fast linear-arithmetic solver for dpll(t),677,LNCS,10.1007/11817963_11,Dutertre B.,article,RRexportBrunoDutertre2006
1972,Journal,proof of correctness of data representations,965,Acta Informatica,10.1007/bf00289507,Hoare C.A.R.,article,RRexportC.A.R.Hoare1972
1972,Journal,proof of correctness of data representations,965,Acta Informatica,10.1007/bf00289507,Hoare C.A.R.,article,RRexportC.A.R.Hoare1972
2002,InProceedings,reducing the number of clock variables of timed automata,133,Unknown Venue,10.1109/real.1996.563702,Daws C.,article,RRexportC.Daws2002
2001,Unknown,the static single information form,53,Unknown Venue,None,Ananian C.S.,article,RRexportC.ScottAnanian2001
1993,Journal,fault detection with multiple observers,82,IEEE/ACM Transactions on Networking,10.1109/90.222906,Wang C.,article,RRexportC.Wang1993
1962,Journal,kommunikation mit automaten,2143,Unknown Venue,None,Petri C.A.,article,RRexportCarlAdamPetri1962
2006,Journal,synchronizing behavioural mismatch in software composition,54,LNCS,None,Canal C.,article,RRexportCarlosCanal2006
2006,Journal,synchronizing behavioural mismatch in software composition,54,LNCS,None,Canal C.,article,RRexportCarlosCanal2006
2010,InProceedings,automated termination analysis of java bytecode by term rewriting,70,Rewriting Techniques and Applications,10.4230/lipics.rta.2010.259,Otto C.,article,RRexportCarstenOtto2010
2011,InProceedings,an experience report on an industrial case-study about timed model-based testing with uppaal-tron,7,Unknown Venue,10.1109/icstw.2011.92,Rütz C.,article,RRexportCarstenRütz2011
2010,InProceedings,a precise memory model for low-level bounded model checking,36,International Conference on Systems,None,Sinz C.,article,RRexportCarstenSinz2010
2009,InProceedings,formal correctness of a passive testing approach for timed systems,12,"International Conference on Software Testing, Verification and Validation Workshops",10.1109/icstw.2009.34,Andres C.,article,RRexportCesarAndres2009
2006,InProceedings,automatic test case generation for uml activity diagrams,153,Unknown Venue,10.1145/1138929.1138931,Mingsong C.,article,RRexportChenMingsong2006
2006,Book,scoped types and aspects for real-time java,32,LNCS,10.1007/11785477_7,Andreae C.,article,RRexportChrisAndreae2006
2006,Book,scoped types and aspects for real-time java,32,LNCS,10.1007/11785477_7,Andreae C.,article,RRexportChrisAndreae2006
1998,Book,purely functional data structures,599,Unknown Venue,10.1017/cbo9780511530104,Okasaki C.,article,RRexportChrisOkasaki1998
2005,Book,essential php security,21,Unknown Venue,None,Shiflett C.,article,RRexportChrisShiflett2005
2007,Book,generating unit tests from formal proofs,68,LNCS,10.1007/978-3-540-73770-4_10,Engel C.,article,RRexportChristianEngel2007
2007,InProceedings,a case study implementing features using aspectj,172,Unknown Venue,10.1109/spline.2007.12,Kastner C.,article,RRexportChristianKastner2007
2007,InProceedings,a case study implementing features using aspectj,172,Unknown Venue,10.1109/spline.2007.12,Kastner C.,article,RRexportChristianKastner2007
